audit_id,timestamp,action,document_id,document_type,actor_id,actor_role,outcome
aud-4aaa0511f11f40,2026-02-09T19:49:40.377578+00:00,delete,inv-c99fcbeb,cv,user-002,recruiter,success
aud-6b4f07c773954b,2025-05-17T19:49:40.377592+00:00,extract,cv-01b1f6e7,invoice,recruiter-01,system,success
aud-544ba08f016143,2025-09-18T19:49:40.377599+00:00,delete,cv-31853c3f,invoice,user-002,user,success
aud-f0e57a88c6b84c,2025-10-19T19:49:40.377605+00:00,delete,cv-2ec42f28,invoice,system,recruiter,success
aud-245cae763a374b,2025-10-19T19:49:40.377612+00:00,manual_review,cv-865897f7,invoice,user-001,recruiter,success
aud-ff75539098a849,2025-12-27T19:49:40.377619+00:00,upload,cv-f2ed8042,cv,system,recruiter,success
aud-f172840990304a,2025-08-23T19:49:40.377626+00:00,extract,cv-5d731a58,invoice,system,user,success
aud-53be4854d3a64b,2026-05-11T19:49:40.377633+00:00,manual_review,inv-210aa010,invoice,system,admin,success
aud-e6716c6ac1594a,2025-06-05T19:49:40.377639+00:00,delete,inv-294203a0,invoice,system,recruiter,success
aud-3a00a58816cf4e,2025-11-25T19:49:40.377645+00:00,consent_grant,inv-2e155d2c,invoice,user-002,admin,success
aud-4a9716de77db4d,2025-10-29T19:49:40.377651+00:00,view,inv-21fda9b2,cv,recruiter-01,user,success
aud-4b0872a1ba354d,2026-01-24T19:49:40.377656+00:00,consent_grant,inv-c2179146,cv,recruiter-01,admin,success
aud-33dfed613b7a4a,2026-01-22T19:49:40.377662+00:00,manual_review,inv-fa3b30cb,invoice,user-001,recruiter,success
aud-e491afeecfbf4b,2025-06-21T19:49:40.377668+00:00,review_approved,cv-3527d68c,invoice,system,system,success
aud-8d27041e7e6b4a,2026-02-25T19:49:40.377686+00:00,upload,cv-6eba295c,cv,admin-01,user,success
aud-ad23a2fd016b42,2025-06-23T19:49:40.377697+00:00,review_approved,cv-7aebd18d,cv,recruiter-01,admin,success
aud-703a863d2b5b42,2025-06-10T19:49:40.377705+00:00,upload,inv-47f63a83,invoice,recruiter-01,system,success
aud-ecc9080f1f2646,2025-05-20T19:49:40.377711+00:00,manual_review,inv-7c3573ca,invoice,user-001,admin,success
aud-d431311402dc46,2025-09-16T19:49:40.377718+00:00,manual_review,inv-966507b7,cv,recruiter-01,admin,success
aud-6db027e77a684f,2025-08-04T19:49:40.377724+00:00,dsr_received,inv-5fdc2d47,cv,recruiter-01,recruiter,success
aud-64d5c2e35c024e,2025-06-19T19:49:40.377731+00:00,mask_pii,inv-b19541fa,cv,user-002,recruiter,success
aud-70dea14865da46,2025-05-11T19:49:40.377737+00:00,mask_pii,cv-45b2d5e7,cv,system,user,success
aud-05bf295e04d840,2026-01-13T19:49:40.377744+00:00,consent_grant,inv-4fc12e8d,invoice,user-001,admin,success
aud-9e54d12796c44b,2025-08-07T19:49:40.377750+00:00,dsr_received,inv-c9c0655e,invoice,recruiter-01,admin,success
aud-a4cb523c3fdc48,2025-07-16T19:49:40.377756+00:00,upload,inv-38fc910b,cv,recruiter-01,user,success
aud-c9690658d90940,2025-12-10T19:49:40.377763+00:00,consent_grant,inv-e7e832f2,cv,admin-01,system,success
aud-ef1304eef92a44,2025-12-23T19:49:40.377769+00:00,consent_grant,inv-b19be9bd,cv,system,admin,success
aud-567a7b8c907845,2025-09-14T19:49:40.377775+00:00,view,inv-36cec079,invoice,recruiter-01,user,success
aud-7fbca70e7be948,2025-10-04T19:49:40.377780+00:00,view,inv-6bf992b4,invoice,user-001,recruiter,success
aud-3a24de7775884f,2026-01-23T19:49:40.377786+00:00,dsr_received,cv-1670d167,cv,system,admin,success
aud-a3923fe37f694d,2026-03-31T19:49:40.377792+00:00,dsr_received,cv-06e53912,invoice,system,system,success
aud-0b1ef9deec254f,2025-06-12T19:49:40.377798+00:00,upload,inv-00b7b6c8,invoice,user-002,user,success
aud-30528c867e4345,2026-01-09T19:49:40.377805+00:00,view,inv-fa3e7da7,invoice,admin-01,system,success
aud-cb15114034d141,2025-12-31T19:49:40.377813+00:00,delete,cv-7ba8b498,invoice,user-002,recruiter,success
