document_id,original_filename,uploaded_at,vendor_name,country_detected,language_detected,currency,invoice_number,invoice_date,due_date,vendor_iban,vendor_tax_id,subtotal_net,vat_rate,vat_amount,total_gross,overall_confidence,requires_manual_review,review_status,processing_status,low_confidence_fields,pii_masked,retention_until
inv-82a0fd0385,rechnung_001.pdf,2026-02-28T19:49:40.376111+00:00,Zürich Data Solutions AG,CH,de,CHF,RE-2024-00001,2026-01-05,2026-02-04,CH9300762011623852957,CHE-123.456.789 MWST,2110,8.1,170.91,2280.91,0.88,False,auto_approved,complete,[],False,2033-01-03
inv-73fa07396b,rechnung_002.pdf,2025-07-12T19:49:40.376231+00:00,Kaufland E-Commerce GmbH,DE,de,EUR,RE-2024-00002,2026-03-27,2026-04-26,DE91200000001234567890,DE814444444,10310,7.0,721.7,11031.7,0.94,False,auto_approved,complete,[],False,2033-03-25
inv-37b8e92ee0,rechnung_003.pdf,2025-08-25T19:49:40.376254+00:00,A1 Telekom Österreich AG,AT,de,EUR,RE-2024-00003,2026-01-11,2026-02-10,AT141200000010007342,ATU45678901,960,20.0,192.0,1152.0,0.59,True,manual_review,manual_review,"[""vendor_name"", ""total_gross""]",False,2033-01-09
inv-d2f8ad7266,rechnung_004.pdf,2025-08-04T19:49:40.376272+00:00,ABB Schweiz AG,CH,it,CHF,RE-2024-00004,2025-06-12,2025-07-12,CH5481000000012345678,CHE-567.890.123 MWST,880,8.1,71.28,951.28,0.64,True,manual_review,manual_review,"[""vendor_name"", ""total_gross""]",False,2032-06-10
inv-b5076c9343,rechnung_005.pdf,2026-02-18T19:49:40.376285+00:00,ÖBB Technologie GmbH,AT,de,EUR,RE-2024-00005,2026-05-07,2026-06-06,AT242011128088012345,ATU34567890,3700,10.0,370.0,4070.0,0.81,False,auto_approved,complete,[],False,2033-05-05
inv-6cdee9d899,rechnung_006.pdf,2026-03-19T19:49:40.376297+00:00,ABB Schweiz AG,CH,fr,CHF,RE-2024-00006,2026-01-20,2026-02-19,CH5481000000012345678,CHE-567.890.123 MWST,6630,8.1,537.03,7167.03,0.67,True,manual_review,manual_review,"[""invoice_date""]",False,2033-01-18
inv-911baabdc6,rechnung_007.pdf,2025-07-05T19:49:40.376309+00:00,Bayer Business Services,DE,de,EUR,RE-2024-00007,2025-11-15,2025-12-15,DE21200400600228481800,DE813333333,6010,19.0,1141.9,7151.9,0.71,True,manual_review,manual_review,"[""invoice_date""]",False,2032-11-13
inv-d9b0627c6e,rechnung_008.pdf,2026-03-08T19:49:40.376320+00:00,Müller & Partner GmbH,DE,de,EUR,RE-2024-00008,2025-08-09,2025-09-08,DE89370400440532013000,DE123456789,12200,19.0,2318.0,14518.0,0.87,False,auto_approved,complete,[],False,2032-08-07
inv-dda7e083d0,rechnung_009.pdf,2025-06-28T19:49:40.376330+00:00,Wien Tech Consulting KG,AT,de,EUR,RE-2024-00009,2025-06-23,2025-07-23,AT611904300234573201,ATU12345678,1640,20.0,328.0,1968.0,0.68,True,manual_review,manual_review,"[""invoice_date""]",False,2032-06-21
inv-e49e8d5d5b,rechnung_010.pdf,2025-06-06T19:49:40.376340+00:00,Weber & Söhne Steuerberatung,DE,de,EUR,RE-2024-00010,2026-04-17,2026-05-17,DE21500105175688870004,DE815555555,8870,19.0,1685.3,10555.3,0.86,False,auto_approved,complete,[],False,2033-04-15
